Sumfit = 142.88, Percentfit = 0.635022, DiffRate = 1.05909
Sumfit = 146.96, Percentfit = 0.653156, DiffRate = 1.03283
Sumfit = 148.04, Percentfit = 0.657956, DiffRate = 1.02626
Sumfit = 148.68, Percentfit = 0.6608, DiffRate = 1.0197
Sumfit = 144.48, Percentfit = 0.642133, DiffRate = 1.04596
Sumfit = 138.2, Percentfit = 0.614222, DiffRate = 1.09191
Sumfit = 141.44, Percentfit = 0.628622, DiffRate = 1.06565
Sumfit = 134.56, Percentfit = 0.598044, DiffRate = 1.11161
Sumfit = 151.52, Percentfit = 0.673422, DiffRate = 1
Sumfit = 144.28, Percentfit = 0.641244, DiffRate = 1.05252
Sumfit = 146.36, Percentfit = 0.650489, DiffRate = 1.03283
Sumfit = 151.2, Percentfit = 0.672, DiffRate = 1.00657
Sumfit = 146.6, Percentfit = 0.651556, DiffRate = 1.03283
Sumfit = 159.24, Percentfit = 0.707733, DiffRate = 1.03768
Sumfit = 135.52, Percentfit = 0.602311, DiffRate = 1.14444
Sumfit = 145.84, Percentfit = 0.648178, DiffRate = 1.08164
Sumfit = 133.96, Percentfit = 0.595378, DiffRate = 1.157
Sumfit = 147.28, Percentfit = 0.654578, DiffRate = 1.06908
Sumfit = 150.72, Percentfit = 0.669867, DiffRate = 1.05024
Sumfit = 137.36, Percentfit = 0.610489, DiffRate = 1.13188
Sumfit = 143.68, Percentfit = 0.638578, DiffRate = 1.0942
Sumfit = 137.84, Percentfit = 0.612622, DiffRate = 1.13188
Sumfit = 139.8, Percentfit = 0.621333, DiffRate = 1.11932
Sumfit = 153.96, Percentfit = 0.684267, DiffRate = 1.0314
Sumfit = 138.72, Percentfit = 0.616533, DiffRate = 1.1256
Sumfit = 152.64, Percentfit = 0.6784, DiffRate = 1.03768
Sumfit = 146.84, Percentfit = 0.652622, DiffRate = 1.07536
Sumfit = 145.92, Percentfit = 0.648533, DiffRate = 1.08164
Sumfit = 159.6, Percentfit = 0.709333, DiffRate = 1
Sumfit = 140.92, Percentfit = 0.626311, DiffRate = 1.11278
Sumfit = 134.44, Percentfit = 0.597511, DiffRate = 1.15664
Sumfit = 145.92, Percentfit = 0.648533, DiffRate = 1.08145
Sumfit = 156.36, Percentfit = 0.694933, DiffRate = 1.0188
Sumfit = 139.64, Percentfit = 0.620622, DiffRate = 1.11905
Sumfit = 160.16, Percentfit = 0.711822, DiffRate = 1
Sumfit = 151.32, Percentfit = 0.672533, DiffRate = 1.04995
Sumfit = 142.64, Percentfit = 0.633956, DiffRate = 1.10614
Sumfit = 150.96, Percentfit = 0.670933, DiffRate = 1.05619
Sumfit = 162.68, Percentfit = 0.723022, DiffRate = 1.01229
Sumfit = 137, Percentfit = 0.608889, DiffRate = 1.15368
Sumfit = 147.72, Percentfit = 0.656533, DiffRate = 1.08606
Sumfit = 133.24, Percentfit = 0.592178, DiffRate = 1.17826
Sumfit = 139.08, Percentfit = 0.618133, DiffRate = 1.14138
Sumfit = 136.68, Percentfit = 0.607467, DiffRate = 1.15982
Sumfit = 138.28, Percentfit = 0.614578, DiffRate = 1.14753
Sumfit = 134.24, Percentfit = 0.596622, DiffRate = 1.17212
Sumfit = 144.84, Percentfit = 0.643733, DiffRate = 1.1045
Sumfit = 150.6, Percentfit = 0.669333, DiffRate = 1.07376
Sumfit = 148.72, Percentfit = 0.660978, DiffRate = 1.07991
Sumfit = 144.8, Percentfit = 0.643556, DiffRate = 1.1045
Sumfit = 138.72, Percentfit = 0.616533, DiffRate = 1.14138
Sumfit = 140.76, Percentfit = 0.6256, DiffRate = 1.12909
Sumfit = 141.36, Percentfit = 0.628267, DiffRate = 1.12909
Sumfit = 150.2, Percentfit = 0.667556, DiffRate = 1.07376
Sumfit = 139.56, Percentfit = 0.620267, DiffRate = 1.14138
Sumfit = 135.84, Percentfit = 0.603733, DiffRate = 1.15982
Sumfit = 137.68, Percentfit = 0.611911, DiffRate = 1.15368
Sumfit = 146.68, Percentfit = 0.651911, DiffRate = 1.09835
Sumfit = 148.2, Percentfit = 0.658667, DiffRate = 1.08606
Sumfit = 149.68, Percentfit = 0.665244, DiffRate = 1.07991
Sumfit = 155, Percentfit = 0.688889, DiffRate = 1.04303
Sumfit = 152.44, Percentfit = 0.677511, DiffRate = 1.06147
Sumfit = 154.04, Percentfit = 0.684622, DiffRate = 1.04918
Sumfit = 148.8, Percentfit = 0.661333, DiffRate = 1.07991
Sumfit = 148, Percentfit = 0.657778, DiffRate = 1.08606
Sumfit = 143.36, Percentfit = 0.637156, DiffRate = 1.11679
Sumfit = 142.16, Percentfit = 0.631822, DiffRate = 1.12294
Sumfit = 147.16, Percentfit = 0.654044, DiffRate = 1.09221
Sumfit = 152.56, Percentfit = 0.678044, DiffRate = 1.06147
Sumfit = 145.92, Percentfit = 0.648533, DiffRate = 1.09835
Sumfit = 149.72, Percentfit = 0.665422, DiffRate = 1.07376
Sumfit = 153.76, Percentfit = 0.683378, DiffRate = 1.04918
Sumfit = 166.04, Percentfit = 0.737956, DiffRate = 1.01807
Sumfit = 145.12, Percentfit = 0.644978, DiffRate = 1.12045
Sumfit = 146.56, Percentfit = 0.651378, DiffRate = 1.11443
Sumfit = 153.48, Percentfit = 0.682133, DiffRate = 1.07227
Sumfit = 139.48, Percentfit = 0.619911, DiffRate = 1.15659
Sumfit = 136.48, Percentfit = 0.606578, DiffRate = 1.17466
Sumfit = 134, Percentfit = 0.595556, DiffRate = 1.19272
Sumfit = 145.92, Percentfit = 0.648533, DiffRate = 1.12045
Sumfit = 136.32, Percentfit = 0.605867, DiffRate = 1.17466
Sumfit = 143.6, Percentfit = 0.638222, DiffRate = 1.1325
Sumfit = 149, Percentfit = 0.662222, DiffRate = 1.10238
Sumfit = 149.28, Percentfit = 0.663467, DiffRate = 1.09636
